Key,en,es,ar,fr,hi
enter The OTPCode Send To,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a tu correo electrónico.,لقد أرسلنا لك رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre adresse e-mail,हमने आपके ईमेल पर एक 6-अंकीय कोड भेजा है
enter The Google Auth OTPCode,Enter OTP Code From Google Authenticator,Introducir el código OTP de Google Authenticator,أدخل رمز OTP من Google Authenticator,Saisissez le code OTP de Google Authenticator,Google प्रमाणक से OTP कोड दर्ज करें
verified Code,Verified Code,Código verificado,الرمز المُتحقق,Code vérifié,सत्यापित कोड
at Andt,AT&T,AT&T,شركة AT&T,AT&T,एटी एंड टी
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone,फ़ोन नंबर
o TPVerification,Otp Verification,Verificación OTP,التحقق من كلمة المرور المؤقتة (OTP),Vérification OTP,ओटीपी सत्यापन
email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,Vérification de l'e-mail,ईमेल सत्यापन
resend,Resend,Reenviar,إعادة الإرسال,Renvoyer,पुन: भेजें
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx
pay And Go,PAY AND GO,PAGA Y VE,ادفع وانطلق,PAYEZ ET PARTEZ,भुगतान करें और जाएं
the Codeis Not Valid,The code is not valid,El código no es válido,الكود غير صالح,Le code n'est pas valide,कोड मान्य नहीं है
number,1684,1684,1684,1684,1684
number Plus1684,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783
skip,Skip,Saltar,يتخطى,Sauter,छोडना
next,Next,Próximo,التالي,Suivant,अगला
enter Password,Enter password,Introducir contraseña,أدخل كلمة المرور,Entrez le mot de passe,पास वर्ड दर्ज करें
app Not Available,App Not Available,Aplicación no disponible,التطبيق غير متوفر,Application non disponible,ऐप उपलब्ध नहीं है
permission Denied,Permission Denied,Permiso denegado,تم رفض الإذن,Permission refusée,अनुमति नहीं मिली
app Not Available Sub Title,is suddenly not available in the current region/country.,De repente no está disponible en la región/país actual.,فجأة لم يعد متاحًا في المنطقة/البلد الحالي.,n'est soudainement plus disponible dans la région/le pays actuel.,वर्तमान क्षेत्र/देश में अचानक उपलब्ध नहीं है।
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guiará por los pasos necesarios.,تحكّم بحسابك بإعادة تعيين كلمة مرورك. صفحة استعادة كلمة المرور لدينا ترشدك إلى الخطوات اللازمة.,Reprenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guidera à travers les étapes nécessaires.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण पाएँ। हमारा पासवर्ड रिकवरी पेज आपको ज़रूरी चरणों के बारे में बताता है।
continues,continues,continúa,يستمر,continue,जारी है
continuee,Continue,Continuar,يكمل,Continuer,जारी रखना
usd100,100.00 USD,"100,00 USD",100.00 دولار أمريكي,"100,00 USD",100.00 अमरीकी डॉलर
total Price,Total Price,Precio total,السعر الإجمالي,Prix ​​total,कुल कीमत
drop Your File,Drop your file,Suelta tu archivo,أسقط ملفك,Déposez votre fichier,अपनी फ़ाइल छोड़ें
have Account,Have An Account?,¿Tiene una cuenta?,هل لديك حساب؟,Vous avez un compte?,एक खाता है?
sign In Information,Log in and Stay Connected,Inicia sesión y mantente conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté,लॉग इन करें और जुड़े रहें
sign Up Information,Register an Account Today,Registre una cuenta hoy,سجل حسابًا اليوم,Créez un compte aujourd'hui,आज ही खाता पंजीकृत करें
agree,Please agree with term and condition,"Por favor, acepte los términos y condiciones.",يرجى الموافقة على الشروط والأحكام,Veuillez accepter les termes et conditions,कृपया नियम और शर्तों से सहमत हों
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy mismo y manténgase al tanto de sus finanzas, en cualquier momento y lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. سجّل دخولك اليوم وابقَ على اطلاع دائم بأموالك، في أي وقت ومن أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous dès aujourd'hui et restez connecté à vos finances, où que vous soyez.","हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और कभी भी, कहीं भी अपने वित्त से जुड़े रहें।"
sign Up Details,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Únete a nuestra comunidad registrándote hoy mismo. Disfruta de una variedad de beneficios y funciones adaptadas a tus necesidades.,انضم إلى مجتمعنا بتسجيل حساب اليوم. استمتع بمجموعة من المزايا والخصائص المصممة خصيصًا لتلبية احتياجاتك.,Rejoignez notre communauté en créant un compte dès aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptés à vos besoins.,आज ही एक खाता पंजीकृत करके हमारे समुदाय का हिस्सा बनें। अपनी ज़रूरतों के हिसाब से तैयार किए गए कई लाभों और सुविधाओं का आनंद लें।
verification Code,Verification Code,Código de verificación,رمز التحقق,Le code de vérification,सत्यापन कोड
enter Your Verification Code,"Enter the verification code which one we send you in your email, to verified your account.","Introduce el código de verificación que te enviamos a tu correo electrónico, para verificar tu cuenta.",أدخل رمز التحقق الذي نرسله إليك في بريدك الإلكتروني للتحقق من حسابك.,"Saisissez le code de vérification que nous vous envoyons dans votre e-mail, pour vérifier votre compte.","अपना खाता सत्यापित करने के लिए, वह सत्यापन कोड दर्ज करें जो हम आपको आपके ईमेल पर भेजेंगे।"
resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Renvoyer le code,पुन: कोड भेजे
k YCForm,KYC Form,Formulario KYC,نموذج اعرف عميلك,Formulaire KYC,केवाईसी फॉर्म
